encounter_time,male,female
-1.4074893066254992,"sex: -1, alleles: 0.27","sex: 1, alleles: -0.07"
-1.4033561797439975,"sex: -1, alleles: 0.74","sex: 1, alleles: 0.63"
-1.3995450013326705,"sex: -1, alleles: -0.88","sex: 1, alleles: -1.59"
-1.3950474757317304,"sex: -1, alleles: -0.75","sex: 1, alleles: 0.42"
-1.3875803377623146,"sex: -1, alleles: -0.38","sex: 1, alleles: -0.92"
-1.3832367069862115,"sex: -1, alleles: -0.42","sex: 1, alleles: 0.52"
-1.3792182914852105,"sex: -1, alleles: -0.48","sex: 1, alleles: 0.53"
-1.3782647034201656,"sex: -1, alleles: 0.14","sex: 1, alleles: -0.87"
-1.376881631964511,"sex: -1, alleles: 0.37","sex: 1, alleles: -0.71"
-1.3652097579342268,"sex: -1, alleles: 0.29","sex: 1, alleles: -1.09"
-1.3613040894138058,"sex: -1, alleles: -0.24","sex: 1, alleles: -0.65"
-1.3579207759716452,"sex: -1, alleles: -0.97","sex: 1, alleles: -0.44"
-1.3568773310277895,"sex: -1, alleles: -1.01","sex: 1, alleles: -0.89"
-1.3479541696822943,"sex: -1, alleles: 0.05","sex: 1, alleles: -0.02"
-1.347554595991785,"sex: -1, alleles: 0.08","sex: 1, alleles: -0.07"
-1.345523237935984,"sex: -1, alleles: -1.13","sex: 1, alleles: -0.41"
-1.3380718473799975,"sex: -1, alleles: -0.38","sex: 1, alleles: -0.17"
-1.3359802497057238,"sex: -1, alleles: -0.41","sex: 1, alleles: -0.78"
-1.325381622554535,"sex: -1, alleles: 0.03","sex: 1, alleles: -0.63"
-1.317955793106207,"sex: -1, alleles: -1.41","sex: 1, alleles: 0.58"
-1.3124150447068221,"sex: -1, alleles: 0.99","sex: 1, alleles: -1.28"
-1.3113256558820503,"sex: -1, alleles: 0.29","sex: 1, alleles: -0.34"
-1.3110935296051371,"sex: -1, alleles: -0.6","sex: 1, alleles: -1.35"
-1.3102207227848905,"sex: -1, alleles: -0.92","sex: 1, alleles: 0.11"
-1.300246117389496,"sex: -1, alleles: 0.28","sex: 1, alleles: -0.37"
-1.299131107263315,"sex: -1, alleles: 0.43","sex: 1, alleles: 0.26"
-1.2972057544646143,"sex: -1, alleles: -1.24","sex: 1, alleles: -0.82"
-1.2952600652325084,"sex: -1, alleles: -0.78","sex: 1, alleles: -1.03"
-1.2937732983860684,"sex: -1, alleles: -0.65","sex: 1, alleles: -1.11"
-1.2921334321053604,"sex: -1, alleles: -0.07","sex: 1, alleles: 0.33"
-1.2901521573609824,"sex: -1, alleles: -0.7","sex: 1, alleles: -1.21"
-1.2897239267265388,"sex: -1, alleles: -0.88","sex: 1, alleles: -0.29"
-1.288598951244825,"sex: -1, alleles: -1.09","sex: 1, alleles: -1.15"
-1.2867693956539412,"sex: -1, alleles: -0.23","sex: 1, alleles: -0.69"
-1.2848861763972552,"sex: -1, alleles: -1.35","sex: 1, alleles: -1.66"
-1.282196799510876,"sex: -1, alleles: -1.64","sex: 1, alleles: -0.02"
-1.2805639881985622,"sex: -1, alleles: -0.48","sex: 1, alleles: -0.44"
-1.2758414711259127,"sex: -1, alleles: -1.06","sex: 1, alleles: -0.22"
-1.2723509019924903,"sex: -1, alleles: -0.38","sex: 1, alleles: -0.71"
-1.2645260465453128,"sex: -1, alleles: -0.7","sex: 1, alleles: -0.86"
-1.2634762874074716,"sex: -1, alleles: 0.74","sex: 1, alleles: -0.37"
-1.2618243690784021,"sex: -1, alleles: -0.49","sex: 1, alleles: 0.48"
-1.2600273582917674,"sex: -1, alleles: -1.95","sex: 1, alleles: -0.02"
-1.2584351539015768,"sex: -1, alleles: -1.01","sex: 1, alleles: -0.61"
-1.2541795305561332,"sex: -1, alleles: -0.09","sex: 1, alleles: 0.97"
-1.253944881051531,"sex: -1, alleles: -1.73","sex: 1, alleles: -1.43"
-1.2532338739685867,"sex: -1, alleles: -0.66","sex: 1, alleles: 0.99"
-1.2532263249892979,"sex: -1, alleles: 1.03","sex: 1, alleles: -1.0"
-1.2451177628798158,"sex: -1, alleles: -0.66","sex: 1, alleles: 0.23"
-1.23765600636794,"sex: -1, alleles: -0.93","sex: 1, alleles: -0.26"
-1.2367682286878499,"sex: -1, alleles: -0.78","sex: 1, alleles: -1.0"
-1.2329486363665931,"sex: -1, alleles: -0.24","sex: 1, alleles: -0.44"
-1.2297632115206645,"sex: -1, alleles: -0.17","sex: 1, alleles: 0.44"
-1.227580956818453,"sex: -1, alleles: 0.15","sex: 1, alleles: -0.69"
-1.2255437798611664,"sex: -1, alleles: -0.17","sex: 1, alleles: -0.38"
-1.221002297695722,"sex: -1, alleles: 0.01","sex: 1, alleles: -1.25"
-1.2204820386797972,"sex: -1, alleles: -0.75","sex: 1, alleles: 0.77"
-1.217777234227322,"sex: -1, alleles: -0.18","sex: 1, alleles: 0.55"
-1.2162181803087826,"sex: -1, alleles: -0.34","sex: 1, alleles: -0.18"
-1.2125307401697403,"sex: -1, alleles: 0.23","sex: 1, alleles: 0.55"
-1.2093391552221184,"sex: -1, alleles: -0.88","sex: 1, alleles: -0.18"
-1.2069763235510127,"sex: -1, alleles: 0.03","sex: 1, alleles: -0.18"
-1.2068707238337173,"sex: -1, alleles: -0.18","sex: 1, alleles: -0.5"
-1.2057227800843566,"sex: -1, alleles: -0.24","sex: 1, alleles: -0.02"
-1.2045445571369235,"sex: -1, alleles: -0.91","sex: 1, alleles: -0.29"
-1.2045255426880659,"sex: -1, alleles: -0.38","sex: 1, alleles: -1.03"
-1.201381077489838,"sex: -1, alleles: 0.33","sex: 1, alleles: -0.29"
-1.2008254674126595,"sex: -1, alleles: -1.86","sex: 1, alleles: 0.02"
-1.2001197025660666,"sex: -1, alleles: -0.6","sex: 1, alleles: 0.11"
-1.1971039648176367,"sex: -1, alleles: -0.92","sex: 1, alleles: 0.69"
-1.1942414348400818,"sex: -1, alleles: 0.43","sex: 1, alleles: -0.98"
-1.1927359551155425,"sex: -1, alleles: 0.95","sex: 1, alleles: -0.17"
-1.1841889708186355,"sex: -1, alleles: -0.37","sex: 1, alleles: -0.33"
-1.1818296527787933,"sex: -1, alleles: 0.13","sex: 1, alleles: 0.99"
-1.1722395327615651,"sex: -1, alleles: -0.7","sex: 1, alleles: -0.41"
-1.1722294106338318,"sex: -1, alleles: 0.1","sex: 1, alleles: 0.26"
-1.1721938780461765,"sex: -1, alleles: -0.89","sex: 1, alleles: 0.68"
-1.1662092147162728,"sex: -1, alleles: -0.16","sex: 1, alleles: -0.07"
-1.1631237642367978,"sex: -1, alleles: 0.55","sex: 1, alleles: -0.77"
-1.1627849202267613,"sex: -1, alleles: -1.32","sex: 1, alleles: -0.76"
-1.162769252387952,"sex: -1, alleles: 0.54","sex: 1, alleles: -0.41"
-1.1620020323959621,"sex: -1, alleles: 0.54","sex: 1, alleles: -0.61"
-1.1619680811408255,"sex: -1, alleles: -0.03","sex: 1, alleles: -0.63"
-1.1597536733354177,"sex: -1, alleles: -0.48","sex: 1, alleles: -0.34"
-1.1581950043568583,"sex: -1, alleles: 0.59","sex: 1, alleles: -0.26"
-1.156465236148773,"sex: -1, alleles: 0.06","sex: 1, alleles: 0.02"
-1.155291314342262,"sex: -1, alleles: -0.48","sex: 1, alleles: -0.7"
-1.1524095093262516,"sex: -1, alleles: 0.21","sex: 1, alleles: 0.65"
-1.1518262776349248,"sex: -1, alleles: 0.26","sex: 1, alleles: -0.65"
-1.1508686374795158,"sex: -1, alleles: 0.54","sex: 1, alleles: 0.58"
-1.1484244417831904,"sex: -1, alleles: -0.95","sex: 1, alleles: 0.68"
-1.147786032506385,"sex: -1, alleles: 0.33","sex: 1, alleles: 0.53"
-1.1405491194073127,"sex: -1, alleles: -0.27","sex: 1, alleles: -0.14"
-1.1394692780421676,"sex: -1, alleles: 0.15","sex: 1, alleles: -1.0"
-1.1342052871053914,"sex: -1, alleles: 0.23","sex: 1, alleles: -0.81"
-1.1306335620474173,"sex: -1, alleles: 0.23","sex: 1, alleles: -1.03"
-1.1300900602145403,"sex: -1, alleles: 0.26","sex: 1, alleles: 0.42"
-1.1300498503559313,"sex: -1, alleles: -0.49","sex: 1, alleles: -0.81"
-1.1300446715572652,"sex: -1, alleles: -0.34","sex: 1, alleles: -0.7"
-1.1283177643880908,"sex: -1, alleles: -0.41","sex: 1, alleles: -0.84"
-1.1189614436848774,"sex: -1, alleles: -0.19","sex: 1, alleles: -0.81"
-1.116940503019836,"sex: -1, alleles: -1.24","sex: 1, alleles: 0.33"
-1.1167885569267009,"sex: -1, alleles: -0.22","sex: 1, alleles: 0.99"
-1.1137874372401222,"sex: -1, alleles: -0.61","sex: 1, alleles: -0.8"
-1.1121173869128813,"sex: -1, alleles: -0.91","sex: 1, alleles: -0.07"
-1.1090509039569234,"sex: -1, alleles: 0.24","sex: 1, alleles: -1.43"
-1.1077100948647756,"sex: -1, alleles: -0.53","sex: 1, alleles: -0.4"
-1.1061994647569091,"sex: -1, alleles: -0.27","sex: 1, alleles: 0.91"
-1.1041022751807388,"sex: -1, alleles: -1.01","sex: 1, alleles: 0.25"
-1.1035581517249815,"sex: -1, alleles: -0.5","sex: 1, alleles: -0.13"
-1.1023975268012232,"sex: -1, alleles: 0.42","sex: 1, alleles: 0.52"
-1.0882889301304182,"sex: -1, alleles: -0.04","sex: 1, alleles: 0.99"
-1.0817919090149357,"sex: -1, alleles: -1.2","sex: 1, alleles: -0.58"
-1.0785681188734149,"sex: -1, alleles: 0.22","sex: 1, alleles: -0.28"
-1.0759887721448806,"sex: -1, alleles: 0.54","sex: 1, alleles: -1.4"
-1.0678867459759995,"sex: -1, alleles: 0.93","sex: 1, alleles: -0.74"
-1.0677869324634441,"sex: -1, alleles: -0.61","sex: 1, alleles: -0.26"
-1.0673327794719336,"sex: -1, alleles: -0.26","sex: 1, alleles: -0.66"
-1.064888981107579,"sex: -1, alleles: -1.26","sex: 1, alleles: -0.77"
-1.0648326833184996,"sex: -1, alleles: -0.18","sex: 1, alleles: -1.21"
-1.0645104186358343,"sex: -1, alleles: 0.55","sex: 1, alleles: -0.17"
-1.0622838887962271,"sex: -1, alleles: -0.48","sex: 1, alleles: 0.55"
-1.0621743155389365,"sex: -1, alleles: -0.34","sex: 1, alleles: 0.08"
-1.0607628827810136,"sex: -1, alleles: 0.42","sex: 1, alleles: -0.02"
-1.0571242636045934,"sex: -1, alleles: -0.79","sex: 1, alleles: -0.5"
-1.0558186194574593,"sex: -1, alleles: -1.95","sex: 1, alleles: 0.11"
-1.0538990499174457,"sex: -1, alleles: -0.53","sex: 1, alleles: -0.67"
-1.0472373496828786,"sex: -1, alleles: 1.05","sex: 1, alleles: -0.7"
-1.0458841306739506,"sex: -1, alleles: 0.37","sex: 1, alleles: 1.09"
-1.044960141491129,"sex: -1, alleles: 0.4","sex: 1, alleles: 0.08"
-1.0445245700377583,"sex: -1, alleles: 0.21","sex: 1, alleles: -1.29"
-1.0407614601247361,"sex: -1, alleles: 0.27","sex: 1, alleles: -0.45"
-1.0407005793420772,"sex: -1, alleles: -0.48","sex: 1, alleles: -0.45"
